instal;maquina;comb;dtini_oper;din_des;din_iniapur
IVX315;IVX3151672;HD;21/03/2013;;21/03/2013
IVX145;IVX1451673;OD;28/06/2002;01/01/2005;
IVX145;IVX1451674;OD;28/06/2002;01/01/2005;
IVX145;IVX1451675;OD;28/06/2002;01/01/2005;
IVX183;IVX1831676;HD;02/12/2010;;02/12/2010
IVX183;IVX1831677;HD;05/08/2010;;05/08/2010
IVX340;IVX3401678;HD;27/02/2016;;27/02/2016
IVX340;IVX3401679;HD;01/04/2016;;01/04/2016
IVX71;IVX711680;HD;01/04/2001;;01/04/2001
IVX139;IVX1391681;GS;31/12/1990;;
IVX309;IVX3091682;HD;29/01/2000;;29/01/2000
IVX309;IVX3091683;HD;29/03/1999;;29/03/1999
IVX309;IVX3091684;HD;21/03/1999;;21/03/1999
IVX131;IVX1311685;HD;24/07/1990;;01/05/2015
IVX289;IVX2891686;HD;24/09/2013;;24/09/2013
IVX68;IVX681687;HD;23/06/2006;;23/06/2006
IVX247;IVX2471688;HD;01/10/1980;;01/01/1996
IVX288;IVX2881689;GS;13/12/2000;;13/12/2000
